filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,19700.000,-0.00000007,2972.61766823,0.37843921
SplitPhase128kE2v3,44100,176400,19800.000,-0.00000009,2972.64307800,0.40384897
SplitPhase128kE2v3,44100,176400,19900.000,-0.00000007,2972.67168164,0.43245262
SplitPhase128kE2v3,44100,176400,20000.000,-0.00000007,2972.70426629,0.46503727
SplitPhase128kE3,44100,176400,20.000,-0.00000009,2972.23997875,0.00074973
SplitPhase128kE3,44100,176400,100.000,-0.00000008,2972.23997180,0.00074277
SplitPhase128kE3,44100,176400,200.000,-0.00000008,2972.23996289,0.00073386
SplitPhase128kE3,44100,176400,300.000,-0.00000008,2972.23995373,0.00072471
SplitPhase128kE3,44100,176400,400.000,-0.00000007,2972.23994436,0.00071533
SplitPhase128kE3,44100,176400,500.000,-0.00000007,2972.23993476,0.00070574
SplitPhase128kE3,44100,176400,600.000,-0.00000007,2972.23992499,0.00069596
SplitPhase128kE3,44100,176400,700.000,-0.00000008,2972.23991504,0.00068602
SplitPhase128kE3,44100,176400,800.000,-0.00000008,2972.23990497,0.00067595
SplitPhase128kE3,44100,176400,900.000,-0.00000008,2972.23989480,0.00066578
SplitPhase128kE3,44100,176400,1000.000,-0.00000008,2972.23988457,0.00065554
SplitPhase128kE3,44100,176400,1100.000,-0.00000007,2972.23987433,0.00064531
SplitPhase128kE3,44100,176400,1200.000,-0.00000007,2972.23986411,0.00063509
SplitPhase128kE3,44100,176400,1300.000,-0.00000008,2972.23985397,0.00062494
SplitPhase128kE3,44100,176400,1400.000,-0.00000008,2972.23984396,0.00061493
SplitPhase128kE3,44100,176400,1500.000,-0.00000008,2972.23983414,0.00060512
SplitPhase128kE3,44100,176400,1600.000,-0.00000008,2972.23982460,0.00059557
SplitPhase128kE3,44100,176400,1700.000,-0.00000008,2972.23981539,0.00058637
SplitPhase128kE3,44100,176400,1800.000,-0.00000007,2972.23980660,0.00057758
SplitPhase128kE3,44100,176400,1900.000,-0.00000007,2972.23979833,0.00056930
SplitPhase128kE3,44100,176400,2000.000,-0.00000008,2972.23979064,0.00056161
SplitPhase128kE3,44100,176400,2100.000,-0.00000008,2972.23978365,0.00055462
SplitPhase128kE3,44100,176400,2200.000,-0.00000008,2972.23977746,0.00054843
SplitPhase128kE3,44100,176400,2300.000,-0.00000008,2972.23977219,0.00054316
SplitPhase128kE3,44100,176400,2400.000,-0.00000007,2972.23976795,0.00053892
SplitPhase128kE3,44100,176400,2500.000,-0.00000007,2972.23976488,0.00053586
SplitPhase128kE3,44100,176400,2600.000,-0.00000007,2972.23976311,0.00053409
SplitPhase128kE3,44100,176400,2700.000,-0.00000008,2972.23976279,0.00053377
SplitPhase128kE3,44100,176400,2800.000,-0.00000008,2972.23976406,0.00053503
SplitPhase128kE3,44100,176400,2900.000,-0.00000008,2972.23976707,0.00053805
SplitPhase128kE3,44100,176400,3000.000,-0.00000008,2972.23977202,0.00054300
SplitPhase128kE3,44100,176400,3100.000,-0.00000008,2972.23934798,0.00011895
SplitPhase128kE3,44100,176400,3200.000,-0.00000008,2972.23771795,-0.00151108
SplitPhase128kE3,44100,176400,3300.000,-0.00000008,2972.23583603,-0.00339299
SplitPhase128kE3,44100,176400,3400.000,-0.00000008,2972.23458116,-0.00464786
SplitPhase128kE3,44100,176400,3500.000,-0.00000008,2972.23398221,-0.00524681
SplitPhase128kE3,44100,176400,3600.000,-0.00000008,2972.23371462,-0.00551441
SplitPhase128kE3,44100,176400,3700.000,-0.00000008,2972.23353085,-0.00569817
SplitPhase128kE3,44100,176400,3800.000,-0.00000008,2972.23333752,-0.00589151
SplitPhase128kE3,44100,176400,3900.000,-0.00000007,2972.23311489,-0.00611414
SplitPhase128kE3,44100,176400,4000.000,-0.00000008,2972.23285739,-0.00637164
SplitPhase128kE3,44100,176400,4100.000,-0.00000008,2972.23255847,-0.00667056
SplitPhase128kE3,44100,176400,4200.000,-0.00000008,2972.23221802,-0.00701100
SplitPhase128kE3,44100,176400,4300.000,-0.00000008,2972.23184610,-0.00738293
SplitPhase128kE3,44100,176400,4400.000,-0.00000008,2972.23146036,-0.00776866
SplitPhase128kE3,44100,176400,4500.000,-0.00000008,2972.23107896,-0.00815007
SplitPhase128kE3,44100,176400,4600.000,-0.00000007,2972.23071488,-0.00851415
SplitPhase128kE3,44100,176400,4700.000,-0.00000008,2972.23037381,-0.00885521
SplitPhase128kE3,44100,176400,4800.000,-0.00000008,2972.23005529,-0.00917374
SplitPhase128kE3,44100,176400,4900.000,-0.00000008,2972.22975754,-0.00947149
SplitPhase128kE3,44100,176400,5000.000,-0.00000008,2972.22947863,-0.00975039
SplitPhase128kE3,44100,176400,5100.000,-0.00000008,2972.22921792,-0.01001111
SplitPhase128kE3,44100,176400,5200.000,-0.00000008,2972.22897569,-0.01025334
SplitPhase128kE3,44100,176400,5300.000,-0.00000007,2972.22875272,-0.01047631
SplitPhase128kE3,44100,176400,5400.000,-0.00000008,2972.22854990,-0.01067913
SplitPhase128kE3,44100,176400,5500.000,-0.00000008,2972.22836814,-0.01086089
SplitPhase128kE3,44100,176400,5600.000,-0.00000008,2972.22820779,-0.01102124
SplitPhase128kE3,44100,176400,5700.000,-0.00000008,2972.22806953,-0.01115949
SplitPhase128kE3,44100,176400,5800.000,-0.00000008,2972.22795376,-0.01127526
SplitPhase128kE3,44100,176400,5900.000,-0.00000008,2972.22786081,-0.01136822
SplitPhase128kE3,44100,176400,6000.000,-0.00000007,2972.22779089,-0.01143813
SplitPhase128kE3,44100,176400,6100.000,-0.00000008,2972.22774420,-0.01148482
SplitPhase128kE3,44100,176400,6200.000,-0.00000008,2972.22772083,-0.01150820
SplitPhase128kE3,44100,176400,6300.000,-0.00000008,2972.22772081,-0.01150821
SplitPhase128kE3,44100,176400,6400.000,-0.00000008,2972.22774416,-0.01148486
SplitPhase128kE3,44100,176400,6500.000,-0.00000008,2972.22779088,-0.01143815
SplitPhase128kE3,44100,176400,6600.000,-0.00000008,2972.22786088,-0.01136814
SplitPhase128kE3,44100,176400,6700.000,-0.00000007,2972.22795407,-0.01127496
SplitPhase128kE3,44100,176400,6800.000,-0.00000008,2972.22807028,-0.01115875
SplitPhase128kE3,44100,176400,6900.000,-0.00000008,2972.22820919,-0.01101983
SplitPhase128kE3,44100,176400,7000.000,-0.00000008,2972.22837084,-0.01085818
SplitPhase128kE3,44100,176400,7100.000,-0.00000008,2972.22855492,-0.01067410
SplitPhase128kE3,44100,176400,7200.000,-0.00000008,2972.22876123,-0.01046779
SplitPhase128kE3,44100,176400,7300.000,-0.00000008,2972.22898963,-0.01023939
SplitPhase128kE3,44100,176400,7400.000,-0.00000007,2972.22924001,-0.00998902
SplitPhase128kE3,44100,176400,7500.000,-0.00000008,2972.22951235,-0.00971668
SplitPhase128kE3,44100,176400,7600.000,-0.00000008,2972.22980631,-0.00942271
SplitPhase128kE3,44100,176400,7700.000,-0.00000008,2972.23012245,-0.00910658
SplitPhase128kE3,44100,176400,7800.000,-0.00000008,2972.23046052,-0.00876851
SplitPhase128kE3,44100,176400,7900.000,-0.00000008,2972.23082049,-0.00840853
SplitPhase128kE3,44100,176400,8000.000,-0.00000008,2972.23120235,-0.00802668
SplitPhase128kE3,44100,176400,8100.000,-0.00000007,2972.23160597,-0.00762305
SplitPhase128kE3,44100,176400,8200.000,-0.00000008,2972.23203113,-0.00719789
SplitPhase128kE3,44100,176400,8300.000,-0.00000008,2972.23247765,-0.00675137
SplitPhase128kE3,44100,176400,8400.000,-0.00000008,2972.23294478,-0.00628425
SplitPhase128kE3,44100,176400,8500.000,-0.00000008,2972.23343291,-0.00579611
SplitPhase128kE3,44100,176400,8600.000,-0.00000008,2972.23394113,-0.00528790
SplitPhase128kE3,44100,176400,8700.000,-0.00000008,2972.23446877,-0.00476026
SplitPhase128kE3,44100,176400,8800.000,-0.00000007,2972.23501499,-0.00421403
SplitPhase128kE3,44100,176400,8900.000,-0.00000008,2972.23557864,-0.00365038
SplitPhase128kE3,44100,176400,9000.000,-0.00000008,2972.23615828,-0.00307075
SplitPhase128kE3,44100,176400,9100.000,-0.00000008,2972.23675150,-0.00247752
SplitPhase128kE3,44100,176400,9200.000,-0.00000008,2972.23735692,-0.00187211
SplitPhase128kE3,44100,176400,9300.000,-0.00000008,2972.23797108,-0.00125795
SplitPhase128kE3,44100,176400,9400.000,-0.00000008,2972.23859044,-0.00063858
SplitPhase128kE3,44100,176400,9500.000,-0.00000007,2972.23921087,-0.00001816
SplitPhase128kE3,44100,176400,9600.000,-0.00000008,2972.23982775,0.00059872
SplitPhase128kE3,44100,176400,9700.000,-0.00000008,2972.24043624,0.00120722
SplitPhase128kE3,44100,176400,9800.000,-0.00000008,2972.24103116,0.00180214
SplitPhase128kE3,44100,176400,9900.000,-0.00000008,2972.24160956,0.00238053
SplitPhase128kE3,44100,176400,10000.000,-0.00000008,2972.24216856,0.00293954
SplitPhase128kE3,44100,176400,10100.000,-0.00000008,2972.24270868,0.00347965
SplitPhase128kE3,44100,176400,10200.000,-0.00000007,2972.24323512,0.00400609
SplitPhase128kE3,44100,176400,10300.000,-0.00000008,2972.24375996,0.00453093
SplitPhase128kE3,44100,176400,10400.000,-0.00000008,2972.24430436,0.00507533
SplitPhase128kE3,44100,176400,10500.000,-0.00000008,2972.24489992,0.00567090
SplitPhase128kE3,44100,176400,10600.000,-0.00000008,2972.24559088,0.00636185
SplitPhase128kE3,44100,176400,10700.000,-0.00000008,2972.24642866,0.00719964
SplitPhase128kE3,44100,176400,10800.000,-0.00000007,2972.24746689,0.00823786
SplitPhase128kE3,44100,176400,10900.000,-0.00000008,2972.24874789,0.00951887
SplitPhase128kE3,44100,176400,11000.000,-0.00000008,2972.25028206,0.01105304
SplitPhase128kE3,44100,176400,11100.000,-0.00000008,2972.25201675,0.01278773
SplitPhase128kE3,44100,176400,11200.000,-0.00000008,2972.25379323,0.01456421
SplitPhase128kE3,44100,176400,11300.000,-0.00000008,2972.25530409,0.01607507
SplitPhase128kE3,44100,176400,11400.000,-0.00000008,2972.25611360,0.01688457
SplitPhase128kE3,44100,176400,11500.000,-0.00000007,2972.25581861,0.01658959
SplitPhase128kE3,44100,176400,11600.000,-0.00000008,2972.25440824,0.01517922
SplitPhase128kE3,44100,176400,11700.000,-0.00000008,2972.25258069,0.01335166
SplitPhase128kE3,44100,176400,11800.000,-0.00000008,2972.25157943,0.01235041
SplitPhase128kE3,44100,176400,11900.000,-0.00000008,2972.25236847,0.01313945
SplitPhase128kE3,44100,176400,12000.000,-0.00000008,2972.25473303,0.01550401
SplitPhase128kE3,44100,176400,12100.000,-0.00000008,2972.25727679,0.01804776
SplitPhase128kE3,44100,176400,12200.000,-0.00000007,2972.25846405,0.01923503
SplitPhase128kE3,44100,176400,12300.000,-0.00000008,2972.25780015,0.01857112
SplitPhase128kE3,44100,176400,12400.000,-0.00000008,2972.25608166,0.01685263
SplitPhase128kE3,44100,176400,12500.000,-0.00000008,2972.25467007,0.01544104
SplitPhase128kE3,44100,176400,12600.000,-0.00000008,2972.25450690,0.01527787
SplitPhase128kE3,44100,176400,12700.000,-0.00000008,2972.25555275,0.01632372
SplitPhase128kE3,44100,176400,12800.000,-0.00000008,2972.25694435,0.01771532
SplitPhase128kE3,44100,176400,12900.000,-0.00000007,2972.25771978,0.01849076
SplitPhase128kE3,44100,176400,13000.000,-0.00000008,2972.25757418,0.01834515
SplitPhase128kE3,44100,176400,13100.000,-0.00000008,2972.25697593,0.01774691
SplitPhase128kE3,44100,176400,13200.000,-0.00000008,2972.25657809,0.01734907
SplitPhase128kE3,44100,176400,13300.000,-0.00000008,2972.25659389,0.01736486
SplitPhase128kE3,44100,176400,13400.000,-0.00000008,2972.25677816,0.01754914
SplitPhase128kE3,44100,176400,13500.000,-0.00000008,2972.25689030,0.01766128
SplitPhase128kE3,44100,176400,13600.000,-0.00000008,2972.25700645,0.01777743
SplitPhase128kE3,44100,176400,13700.000,-0.00000008,2972.25737732,0.01814829
SplitPhase128kE3,44100,176400,13800.000,-0.00000008,2972.25812217,0.01889314
SplitPhase128kE3,44100,176400,13900.000,-0.00000008,2972.25916486,0.01993583
SplitPhase128kE3,44100,176400,14000.000,-0.00000008,2972.26042500,0.02119598
SplitPhase128kE3,44100,176400,14100.000,-0.00000008,2972.26195742,0.02272840
SplitPhase128kE3,44100,176400,14200.000,-0.00000008,2972.26385225,0.02462322
SplitPhase128kE3,44100,176400,14300.000,-0.00000008,2972.26612818,0.02689916
SplitPhase128kE3,44100,176400,14400.000,-0.00000008,2972.26871988,0.02949086
SplitPhase128kE3,44100,176400,14500.000,-0.00000008,2972.27156847,0.03233944
SplitPhase128kE3,44100,176400,14600.000,-0.00000008,2972.27471916,0.03549014
SplitPhase128kE3,44100,176400,14700.000,-0.00000008,2972.27832490,0.03909588
SplitPhase128kE3,44100,176400,14800.000,-0.00000008,2972.28254660,0.04331758
SplitPhase128kE3,44100,176400,14900.000,-0.00000008,2972.28741542,0.04818639
SplitPhase128kE3,44100,176400,15000.000,-0.00000008,2972.29281263,0.05358361
SplitPhase128kE3,44100,176400,15100.000,-0.00000008,2972.29859899,0.05936996
SplitPhase128kE3,44100,176400,15200.000,-0.00000008,2972.30488584,0.06565681
SplitPhase128kE3,44100,176400,15300.000,-0.00000008,2972.31210780,0.07287877
SplitPhase128kE3,44100,176400,15400.000,-0.00000008,2972.32076340,0.08153438
SplitPhase128kE3,44100,176400,15500.000,-0.00000008,2972.33107975,0.09185073
SplitPhase128kE3,44100,176400,15600.000,-0.00000007,2972.34304168,0.10381265
SplitPhase128kE3,44100,176400,15700.000,-0.00000008,2972.35689459,0.11766556
SplitPhase128kE3,44100,176400,15800.000,-0.00000008,2972.37344286,0.13421384
SplitPhase128kE3,44100,176400,15900.000,-0.00000008,2972.39389776,0.15466874
SplitPhase128kE3,44100,176400,16000.000,-0.00000008,2972.41939127,0.18016224
SplitPhase128kE3,44100,176400,16100.000,-0.00000008,2972.45087819,0.21164916
SplitPhase128kE3,44100,176400,16200.000,-0.00000008,2972.48956085,0.25033182
SplitPhase128kE3,44100,176400,16300.000,-0.00000008,2972.53709764,0.29786861
SplitPhase128kE3,44100,176400,16400.000,-0.00000008,2972.59498194,0.35575291
SplitPhase128kE3,44100,176400,16500.000,-0.00000008,2972.66228089,0.42305187
SplitPhase128kE3,44100,176400,16600.000,-0.00000007,2972.73334200,0.49411297
SplitPhase128kE3,44100,176400,16700.000,-0.00000008,2972.79668438,0.55745535
SplitPhase128kE3,44100,176400,16800.000,-0.00000008,2972.83749038,0.59826135
SplitPhase128kE3,44100,176400,16900.000,-0.00000008,2972.84408447,0.60485545
SplitPhase128kE3,44100,176400,17000.000,-0.00000008,2972.81471164,0.57548262
SplitPhase128kE3,44100,176400,17100.000,-0.00000008,2972.75867203,0.51944301
SplitPhase128kE3,44100,176400,17200.000,-0.00000008,2972.69088589,0.45165686
SplitPhase128kE3,44100,176400,17300.000,-0.00000008,2972.62427715,0.38504812
SplitPhase128kE3,44100,176400,17400.000,-0.00000008,2972.56587472,0.32664570
SplitPhase128kE3,44100,176400,17500.000,-0.00000008,2972.51749625,0.27826723
SplitPhase128kE3,44100,176400,17600.000,-0.00000008,2972.47838201,0.23915298
SplitPhase128kE3,44100,176400,17700.000,-0.00000008,2972.44725702,0.20802800
SplitPhase128kE3,44100,176400,17800.000,-0.00000008,2972.42308379,0.18385476
SplitPhase128kE3,44100,176400,17900.000,-0.00000007,2972.40482084,0.16559182
SplitPhase128kE3,44100,176400,18000.000,-0.00000008,2972.39117423,0.15194521
SplitPhase128kE3,44100,176400,18100.000,-0.00000008,2972.38051531,0.14128629
SplitPhase128kE3,44100,176400,18200.000,-0.00000008,2972.37141697,0.13218794
SplitPhase128kE3,44100,176400,18300.000,-0.00000008,2972.36322129,0.12399227
SplitPhase128kE3,44100,176400,18400.000,-0.00000008,2972.35615423,0.11692520
SplitPhase128kE3,44100,176400,18500.000,-0.00000008,2972.35093853,0.11170951
SplitPhase128kE3,44100,176400,18600.000,-0.00000007,2972.34814489,0.10891587
SplitPhase128kE3,44100,176400,18700.000,-0.00000008,2972.34768764,0.10845861
SplitPhase128kE3,44100,176400,18800.000,-0.00000008,2972.34874076,0.10951174
SplitPhase128kE3,44100,176400,18900.000,-0.00000007,2972.35025750,0.11102848
SplitPhase128kE3,44100,176400,19000.000,-0.00000008,2972.35166337,0.11243434
SplitPhase128kE3,44100,176400,19100.000,-0.00000008,2972.35313549,0.11390647
SplitPhase128kE3,44100,176400,19200.000,-0.00000007,2972.35529669,0.11606766
SplitPhase128kE3,44100,176400,19300.000,-0.00000008,2972.35872773,0.11949870
SplitPhase128kE3,44100,176400,19400.000,-0.00000008,2972.36372161,0.12449259
SplitPhase128kE3,44100,176400,19500.000,-0.00000008,2972.37035192,0.13112289
SplitPhase128kE3,44100,176400,19600.000,-0.00000008,2972.37855891,0.13932989
SplitPhase128kE3,44100,176400,19700.000,-0.00000007,2972.38815362,0.14892460
SplitPhase128kE3,44100,176400,19800.000,-0.00000008,2972.39894973,0.15972070
SplitPhase128kE3,44100,176400,19900.000,-0.00000007,2972.41115393,0.17192491
SplitPhase128kE3,44100,176400,20000.000,-0.00000007,2972.42576311,0.18653408
